STATUS | wrapper  | 2008/05/18 17:45:50 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2008/05/18 17:45:50 | Launching a JVM...
INFO   | jvm 1    | 2008/05/18 17:45:50 | Wrapper (Version 3.1.2) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2008/05/18 17:45:50 | 
STATUS | wrapper  | 2008/05/18 17:46:22 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2008/05/18 17:46:23 | <-- Wrapper Stopped
STATUS | wrapper  | 2008/05/18 17:47:16 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2008/05/18 17:47:16 | Launching a JVM...
INFO   | jvm 1    | 2008/05/18 17:47:17 | Wrapper (Version 3.1.2) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2008/05/18 17:47:17 | 
INFO   | jvm 1    | 2008/05/18 17:47:17 | org.mortbay.util.MultiException[java.net.BindException: Permission denied]
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at org.mortbay.http.HttpServer.doStart(HttpServer.java:732)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at org.mortbay.util.Container.start(Container.java:71)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at com.adito.server.Main$4.run(Main.java:871)
INFO   | jvm 1    | 2008/05/18 17:47:17 | java.net.BindException: Permission denied
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at java.net.PlainSocketImpl.socketBind(Native Method)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at java.net.PlainSocketImpl.bind(PlainSocketImpl.java:359)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at java.net.ServerSocket.bind(ServerSocket.java:319)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at java.net.ServerSocket.<init>(ServerSocket.java:185)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at org.mortbay.util.ThreadedServer.newServerSocket(ThreadedServer.java:390)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at org.mortbay.util.ThreadedServer.open(ThreadedServer.java:476)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at org.mortbay.util.ThreadedServer.start(ThreadedServer.java:502)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at org.mortbay.http.SocketListener.start(SocketListener.java:202)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at org.mortbay.http.HttpServer.doStart(HttpServer.java:762)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at org.mortbay.util.Container.start(Container.java:71)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at com.adito.server.Main$4.run(Main.java:871)
INFO   | jvm 1    | 2008/05/18 17:47:17 | java.net.BindException: Permission denied
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at java.net.PlainSocketImpl.socketBind(Native Method)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at java.net.PlainSocketImpl.bind(PlainSocketImpl.java:359)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at java.net.ServerSocket.bind(ServerSocket.java:319)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at java.net.ServerSocket.<init>(ServerSocket.java:185)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at org.mortbay.util.ThreadedServer.newServerSocket(ThreadedServer.java:390)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at org.mortbay.util.ThreadedServer.open(ThreadedServer.java:476)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at org.mortbay.util.ThreadedServer.start(ThreadedServer.java:502)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at org.mortbay.http.SocketListener.start(SocketListener.java:202)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at org.mortbay.http.HttpServer.doStart(HttpServer.java:762)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at org.mortbay.util.Container.start(Container.java:71)
INFO   | jvm 1    | 2008/05/18 17:47:17 | 	at com.adito.server.Main$4.run(Main.java:871)
INFO   | jvm 1    | 2008/05/18 17:52:47 | Generating 1024 bit ssh-rsa key pair
STATUS | wrapper  | 2008/05/18 18:03:38 | <-- Wrapper Stopped
STATUS | wrapper  | 2008/05/18 18:17:19 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2008/05/18 18:17:19 | Launching a JVM...
INFO   | jvm 1    | 2008/05/18 18:17:19 | Wrapper (Version 3.1.2) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2008/05/18 18:17:19 | 
